Deprivation band,Effectiveness of leadership and management,Quality of education,Personal development,Behaviour and attitudes,Overall effectiveness
Deprived,1,1,1,1,1
Average,1,9,9,9,1
Average,1,2,1,1,2
Deprived,2,9,9,9,2
Deprived,2,2,1,2,2
Deprived,2,9,9,9,2
Most deprived,2,2,2,2,2
Deprived,2,9,9,9,2
Most deprived,1,1,1,1,1
Deprived,2,9,9,9,2
Most deprived,2,9,9,9,2
Most deprived,1,2,1,1,2
Less deprived,2,2,2,2,2
Average,2,2,2,2,2
Most deprived,1,1,1,1,1
Most deprived,1,1,1,1,1
Deprived,1,9,9,9,1
Deprived,1,9,9,9,1
Least deprived,1,9,9,9,2
Average,1,1,1,1,1
Least deprived,1,1,1,1,1
Most deprived,2,9,9,9,2
Average,2,9,9,9,2
Less deprived,2,2,1,1,2
Deprived,1,1,1,1,Not judged
Most deprived,2,2,2,2,2
Deprived,1,9,9,9,1
Deprived,2,9,9,9,2
Most deprived,2,9,9,9,2
Deprived,1,1,1,1,1
Deprived,2,9,9,9,2
Most deprived,1,1,1,1,1
Most deprived,2,9,9,9,2
Most deprived,1,2,1,2,Not judged
Average,2,9,9,9,2
Most deprived,1,1,1,1,1
Most deprived,1,1,1,1,1
Most deprived,2,9,9,9,2
Deprived,1,1,1,1,1
Most deprived,2,9,9,9,2
Deprived,2,2,2,2,2
Deprived,1,9,9,9,2
Deprived,2,2,2,1,2
Most deprived,2,9,9,9,2
Deprived,2,2,2,2,Not judged
Most deprived,2,2,2,2,Not judged
Unknown,1,9,9,9,1
Deprived,1,9,9,9,1
Deprived,2,9,9,9,2
Unknown,1,1,1,1,1
Deprived,1,9,9,9,1
Deprived,1,9,9,9,1
Average,1,9,9,9,1
Average,2,9,9,9,2
Average,1,9,9,9,1
Average,2,9,9,9,2
Deprived,2,2,2,2,2
Deprived,2,9,9,9,2
Deprived,2,9,9,9,2
Deprived,2,2,2,2,2
Deprived,2,9,9,9,2
Average,2,2,2,1,2
Deprived,2,2,1,2,2
Deprived,2,2,2,1,2
Deprived,2,2,1,2,2
Deprived,2,2,1,1,2
Deprived,2,9,9,9,2
Average,2,2,1,2,2
Deprived,2,9,9,9,2
Average,2,9,9,9,2
Average,2,9,9,9,2
Most deprived,2,2,2,2,2
Deprived,1,1,1,1,Not judged
Deprived,1,1,1,1,1
Deprived,2,2,2,2,2
Deprived,2,9,9,9,2
Deprived,2,9,9,9,2
Most deprived,2,9,9,9,2
Most deprived,2,9,9,9,2
Average,2,2,1,2,2
Deprived,2,2,2,1,2
Deprived,1,9,9,9,1
Deprived,2,2,2,2,2
Deprived,2,2,2,2,2
Deprived,2,9,9,9,2
Deprived,2,9,9,9,2
Most deprived,2,9,9,9,2
Deprived,1,1,1,1,1
Deprived,2,9,9,9,2
Most deprived,2,9,9,9,2
Deprived,2,9,9,9,2
Deprived,2,2,2,1,2
Deprived,2,9,9,9,2
Deprived,1,9,9,9,2
Deprived,3,3,3,3,3
Deprived,2,9,9,9,2
Deprived,3,3,3,3,3
Deprived,2,9,9,9,2
Most deprived,1,9,9,9,1
Most deprived,1,9,9,9,1
Most deprived,2,9,9,9,2
Most deprived,2,2,1,2,2
Most deprived,2,2,2,2,2
Deprived,2,2,2,2,2
Most deprived,1,9,9,9,1
Deprived,2,9,9,9,2
Most deprived,1,9,9,9,1
Most deprived,2,2,1,2,2
Most deprived,1,1,1,1,1
Most deprived,2,2,2,2,2
Most deprived,1,9,9,9,1
